Country,Country_Code,Time_Stamp,Cases
Afghanistan,AFG,1/22/2020,0
Algeria,DZA,1/22/2020,0
Australia,AUS,1/22/2020,0
Austria,AUT,1/22/2020,0
Bahrain,BHR,1/22/2020,0
Belgium,BEL,1/22/2020,0
Brazil,BRA,1/22/2020,0
Cambodia,KHM,1/22/2020,0
Canada,CAN,1/22/2020,0
Croatia,HRV,1/22/2020,0
Egypt,EGY,1/22/2020,0
Finland,FIN,1/22/2020,0
France,FRA,1/22/2020,0
Georgia,GEO,1/22/2020,0
Germany,DEU,1/22/2020,0
Greece,GRC,1/22/2020,0
Hong Kong,HKG,1/22/2020,0
India,IND,1/22/2020,0
"Iran, Islamic Republic of",IRN,1/22/2020,0
Iraq,IRQ,1/22/2020,0
Israel,ISR,1/22/2020,0
Italy,ITA,1/22/2020,0
Japan,JPN,1/22/2020,2
Kuwait,KWT,1/22/2020,0
Lebanon,LBN,1/22/2020,0
Macao,MAC,1/22/2020,1
Malaysia,MYS,1/22/2020,0
Nepal,NPL,1/22/2020,0
North Macedonia,MKD,1/22/2020,0
Norway,NOR,1/22/2020,0
Oman,OMN,1/22/2020,0
Pakistan,PAK,1/22/2020,0
Philippines,PHL,1/22/2020,0
Romania,ROU,1/22/2020,0
Russian Federation,RUS,1/22/2020,0
Singapore,SGP,1/22/2020,0
"Korea, Republic of",KOR,1/22/2020,1
Spain,ESP,1/22/2020,0
Sri Lanka,LKA,1/22/2020,0
Sweden,SWE,1/22/2020,0
Switzerland,CHE,1/22/2020,0
"Taiwan, Province of China",TWN,1/22/2020,1
Thailand,THA,1/22/2020,2
United Kingdom,GBR,1/22/2020,0
United States,USA,1/22/2020,1
United Arab Emirates,ARE,1/22/2020,0
Viet Nam,VNM,1/22/2020,0
Afghanistan,AFG,1/23/2020,0
Algeria,DZA,1/23/2020,0
Australia,AUS,1/23/2020,0
Austria,AUT,1/23/2020,0
Bahrain,BHR,1/23/2020,0
Belgium,BEL,1/23/2020,0
Brazil,BRA,1/23/2020,0
Cambodia,KHM,1/23/2020,0
Canada,CAN,1/23/2020,0
Croatia,HRV,1/23/2020,0
Egypt,EGY,1/23/2020,0
Finland,FIN,1/23/2020,0
France,FRA,1/23/2020,0
Georgia,GEO,1/23/2020,0
Germany,DEU,1/23/2020,0
Greece,GRC,1/23/2020,0
Hong Kong,HKG,1/23/2020,2
India,IND,1/23/2020,0
"Iran, Islamic Republic of",IRN,1/23/2020,0
Iraq,IRQ,1/23/2020,0
Israel,ISR,1/23/2020,0
Italy,ITA,1/23/2020,0
Japan,JPN,1/23/2020,1
Kuwait,KWT,1/23/2020,0
Lebanon,LBN,1/23/2020,0
Macao,MAC,1/23/2020,2
Malaysia,MYS,1/23/2020,0
Nepal,NPL,1/23/2020,0
North Macedonia,MKD,1/23/2020,0
Norway,NOR,1/23/2020,0
Oman,OMN,1/23/2020,0
Pakistan,PAK,1/23/2020,0
Philippines,PHL,1/23/2020,0
Romania,ROU,1/23/2020,0
Russian Federation,RUS,1/23/2020,0
Singapore,SGP,1/23/2020,1
"Korea, Republic of",KOR,1/23/2020,1
Spain,ESP,1/23/2020,0
Sri Lanka,LKA,1/23/2020,0
Sweden,SWE,1/23/2020,0
Switzerland,CHE,1/23/2020,0
"Taiwan, Province of China",TWN,1/23/2020,1
Thailand,THA,1/23/2020,3
United Kingdom,GBR,1/23/2020,0
United States,USA,1/23/2020,1
United Arab Emirates,ARE,1/23/2020,0
Viet Nam,VNM,1/23/2020,2
Afghanistan,AFG,1/24/2020,0
Algeria,DZA,1/24/2020,0
Australia,AUS,1/24/2020,0
Austria,AUT,1/24/2020,0
Bahrain,BHR,1/24/2020,0
Belgium,BEL,1/24/2020,0
Brazil,BRA,1/24/2020,0
Cambodia,KHM,1/24/2020,0
Canada,CAN,1/24/2020,0
Croatia,HRV,1/24/2020,0
Egypt,EGY,1/24/2020,0
Finland,FIN,1/24/2020,0
France,FRA,1/24/2020,2
Georgia,GEO,1/24/2020,0
Germany,DEU,1/24/2020,0
Greece,GRC,1/24/2020,0
Hong Kong,HKG,1/24/2020,2
India,IND,1/24/2020,0
"Iran, Islamic Republic of",IRN,1/24/2020,0
Iraq,IRQ,1/24/2020,0
Israel,ISR,1/24/2020,0
Italy,ITA,1/24/2020,0
Japan,JPN,1/24/2020,2
Kuwait,KWT,1/24/2020,0
Lebanon,LBN,1/24/2020,0
Macao,MAC,1/24/2020,2
Malaysia,MYS,1/24/2020,0
Nepal,NPL,1/24/2020,0
North Macedonia,MKD,1/24/2020,0
Norway,NOR,1/24/2020,0
Oman,OMN,1/24/2020,0
Pakistan,PAK,1/24/2020,0
Philippines,PHL,1/24/2020,0
Romania,ROU,1/24/2020,0
Russian Federation,RUS,1/24/2020,0
Singapore,SGP,1/24/2020,3
"Korea, Republic of",KOR,1/24/2020,2
Spain,ESP,1/24/2020,0
Sri Lanka,LKA,1/24/2020,0
Sweden,SWE,1/24/2020,0
Switzerland,CHE,1/24/2020,0
"Taiwan, Province of China",TWN,1/24/2020,3
Thailand,THA,1/24/2020,5
United Kingdom,GBR,1/24/2020,0
United States,USA,1/24/2020,2
United Arab Emirates,ARE,1/24/2020,0
Viet Nam,VNM,1/24/2020,2
Afghanistan,AFG,1/25/2020,0
Algeria,DZA,1/25/2020,0
Australia,AUS,1/25/2020,0
Austria,AUT,1/25/2020,0
Bahrain,BHR,1/25/2020,0
Belgium,BEL,1/25/2020,0
Brazil,BRA,1/25/2020,0
Cambodia,KHM,1/25/2020,0
Canada,CAN,1/25/2020,0
Croatia,HRV,1/25/2020,0
Egypt,EGY,1/25/2020,0
Finland,FIN,1/25/2020,0
France,FRA,1/25/2020,3
Georgia,GEO,1/25/2020,0
Germany,DEU,1/25/2020,0
Greece,GRC,1/25/2020,0
Hong Kong,HKG,1/25/2020,5
India,IND,1/25/2020,0
"Iran, Islamic Republic of",IRN,1/25/2020,0
Iraq,IRQ,1/25/2020,0
Israel,ISR,1/25/2020,0
Italy,ITA,1/25/2020,0
Japan,JPN,1/25/2020,2
Kuwait,KWT,1/25/2020,0
Lebanon,LBN,1/25/2020,0
Macao,MAC,1/25/2020,2
Malaysia,MYS,1/25/2020,3
Nepal,NPL,1/25/2020,1
North Macedonia,MKD,1/25/2020,0
Norway,NOR,1/25/2020,0
Oman,OMN,1/25/2020,0
Pakistan,PAK,1/25/2020,0
Philippines,PHL,1/25/2020,0
Romania,ROU,1/25/2020,0
Russian Federation,RUS,1/25/2020,0
Singapore,SGP,1/25/2020,3
"Korea, Republic of",KOR,1/25/2020,2
Spain,ESP,1/25/2020,0
Sri Lanka,LKA,1/25/2020,0
Sweden,SWE,1/25/2020,0
Switzerland,CHE,1/25/2020,0
"Taiwan, Province of China",TWN,1/25/2020,3
Thailand,THA,1/25/2020,7
United Kingdom,GBR,1/25/2020,0
United States,USA,1/25/2020,2
United Arab Emirates,ARE,1/25/2020,0
Viet Nam,VNM,1/25/2020,2
Afghanistan,AFG,1/26/2020,0
Algeria,DZA,1/26/2020,0
Australia,AUS,1/26/2020,4
Austria,AUT,1/26/2020,0
Bahrain,BHR,1/26/2020,0
Belgium,BEL,1/26/2020,0
Brazil,BRA,1/26/2020,0
Cambodia,KHM,1/26/2020,0
Canada,CAN,1/26/2020,1
Croatia,HRV,1/26/2020,0
Egypt,EGY,1/26/2020,0
Finland,FIN,1/26/2020,0
France,FRA,1/26/2020,3
Georgia,GEO,1/26/2020,0
Germany,DEU,1/26/2020,0
Greece,GRC,1/26/2020,0
Hong Kong,HKG,1/26/2020,8
India,IND,1/26/2020,0
"Iran, Islamic Republic of",IRN,1/26/2020,0
Iraq,IRQ,1/26/2020,0
Israel,ISR,1/26/2020,0
Italy,ITA,1/26/2020,0
Japan,JPN,1/26/2020,4
Kuwait,KWT,1/26/2020,0
Lebanon,LBN,1/26/2020,0
Macao,MAC,1/26/2020,5
Malaysia,MYS,1/26/2020,4
Nepal,NPL,1/26/2020,1
North Macedonia,MKD,1/26/2020,0
Norway,NOR,1/26/2020,0
Oman,OMN,1/26/2020,0
Pakistan,PAK,1/26/2020,0
Philippines,PHL,1/26/2020,0
Romania,ROU,1/26/2020,0
Russian Federation,RUS,1/26/2020,0
Singapore,SGP,1/26/2020,4
"Korea, Republic of",KOR,1/26/2020,3
Spain,ESP,1/26/2020,0
Sri Lanka,LKA,1/26/2020,0
Sweden,SWE,1/26/2020,0
Switzerland,CHE,1/26/2020,0
"Taiwan, Province of China",TWN,1/26/2020,4
Thailand,THA,1/26/2020,8
