Country/Region,timestamp,conf_cases,recov_cases,death_cases
Australia,2020-02-23,22,11,0
Belgium,2020-02-23,1,1,0
Cambodia,2020-02-23,1,1,0
Canada,2020-02-23,9,3,0
Egypt,2020-02-23,1,0,0
Finland,2020-02-23,1,1,0
France,2020-02-23,12,4,1
Germany,2020-02-23,16,14,0
Hong Kong,2020-02-23,74,11,2
India,2020-02-23,3,3,0
Iran,2020-02-23,43,0,8
Iraq,2020-02-23,0,0,0
Israel,2020-02-23,1,0,0
Italy,2020-02-23,155,2,3
Japan,2020-02-23,147,22,1
Lebanon,2020-02-23,1,0,0
Macau,2020-02-23,10,6,0
Mainland China,2020-02-23,76938,23170,2443
Malaysia,2020-02-23,22,15,0
Nepal,2020-02-23,1,1,0
Others,2020-02-23,691,0,3
Philippines,2020-02-23,3,1,1
Russia,2020-02-23,2,2,0
Singapore,2020-02-23,89,51,0
South Korea,2020-02-23,602,18,6
Spain,2020-02-23,2,2,0
Sri Lanka,2020-02-23,1,1,0
Sweden,2020-02-23,1,0,0
Taiwan,2020-02-23,28,2,1
Thailand,2020-02-23,35,21,0
UK,2020-02-23,9,8,0
US,2020-02-23,35,5,0
United Arab Emirates,2020-02-23,13,4,0
Vietnam,2020-02-23,16,14,0
